mes,CO,NO,NO2,NOX,O3,PM10,PM25,SO2,mes_nombre
1,0.6189,22.5285,28.1642,50.9866,26.4053,52.3371,24.4961,5.0586,Ene
2,0.545,18.8542,26.1442,45.3468,30.688,52.6445,22.991,5.4278,Feb
3,0.4741,14.6471,23.5053,38.5528,33.3562,49.7622,22.5134,3.9684,Mar
4,0.4573,12.0652,22.3408,34.7655,40.3631,50.5982,26.3034,2.9272,Abr
5,0.4454,10.2152,22.0856,32.5296,41.9299,45.5247,26.658,2.8396,May
6,0.3926,8.9929,19.2844,28.3197,31.0374,30.7591,17.142,2.8434,Jun
7,0.4139,10.9395,20.3117,31.3035,29.4708,31.4129,17.6212,2.595,Jul
8,0.391,9.868,19.1004,29.0714,28.2715,27.2268,15.3935,2.3501,Ago
9,0.4016,10.2516,19.0133,29.4463,25.9835,27.3238,15.6726,2.4377,Sep
10,0.4351,13.7829,20.25,34.2779,25.6916,31.7451,16.2405,3.0113,Oct
11,0.5348,19.2991,25.4843,45.1304,24.7084,44.0004,22.0634,5.1242,Nov
12,0.6587,24.6523,29.9079,54.9735,25.4562,54.8423,26.8474,5.5999,Dic
